words	0	mux	area	width	height	tcycle	ReadPowTyp	WritePowTyp	leakage
49152	8	48	568952.328	709.24	802.2	3.882	10.439	12.053	3223.5379
98304	8	48	1101240.504	709.8	1551.48	5.316	12.275	14.482	5913.4691
196608	8	48	2166825.3152	710.36	3050.32	12.739	16.945	20.409	11293.3139
196608	10	48	2598994.6528	852.04	3050.32	12.76	18.327	22.1	11837.8194
12288	16	48	306246.5504	1276.24	239.96	3.168	13.983	16.054	1734.0202
24576	16	48	545551.104	1276.8	427.28	3.447	14.563	16.8	2519.0066
49152	16	48	1024698.192	1277.36	802.2	3.958	15.652	18.263	4083.6213
98304	16	48	1982667.3216	1277.92	1551.48	5.386	17.775	21.102	7212.8661
98304	21	48	2533504.7808	1632.96	1551.48	5.427	21.469	25.651	8024.9884
12288	32	48	581668.1808	2412.76	241.08	3.43	25.324	30.165	2792.559
24576	32	48	1033866.288	2413.32	428.4	3.708	26.119	31.195	3799.8631
49152	32	48	1939118.0816	2413.88	803.32	4.222	27.578	33.173	5803.8046
12288	42	48	779155.9776	3123.12	249.48	3.639	33.059	40.755	3454.1177
24576	42	48	1364423.424	3123.68	436.8	3.918	33.97	41.903	4600.4013
49152	42	48	2536008.0928	3124.24	811.72	4.429	35.656	44.216	6878.9061
245760	8	60	2687819.9712	881.16	3050.32	12.764	17.393	20.884	13285.4777
122880	16	60	2468342.6208	1590.96	1551.48	5.427	18.559	22.114	8572.1988
61440	32	60	2418892.9184	3011.12	803.32	4.456	28.891	36.008	6983.6041
16384	8	64	224612.1584	936.04	239.96	3.123	9.667	10.895	1506.076
32768	8	64	400190.448	936.6	427.28	3.402	10.126	11.476	2337.7222
65536	8	64	751789.752	937.16	802.2	3.91	11.03	12.688	3997.2779
131072	8	64	1454853.8256	937.72	1551.48	5.342	12.868	15.127	7316.3761
131072	15	64	2483112.7104	1600.48	1551.48	5.42	18.032	21.508	8820.5029
16384	16	64	406425.0512	1693.72	239.96	3.257	15.031	17.434	2198.1531
32768	16	64	723931.9584	1694.28	427.28	3.538	15.605	18.202	3178.1134
